ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
ANTXR1,-0.26713744204376866,8.371671645721738,-3.791764437214598,1.6730797947098983e-4,0.9890932270303451,-0.47209643989114713
RPL18,0.27671703918547585,11.361259314638575,3.7699396730750627,1.8220378134481811e-4,0.9890932270303451,-0.5246325893381947
RPL28,0.26537591243917547,8.953377402838635,3.499432823626364,5.066726015155729e-4,0.9999970699667557,-1.152320777219849
COL8A1,-0.33739224536979684,9.000145071167728,-3.4182218518283176,6.802508773543252e-4,0.9999970699667557,-1.3322255775122138
ACSM5,-0.3117439706766234,6.9726345062752255,-3.4101409952305106,7.002660040467838e-4,0.9999970699667557,-1.3499097780477958
RPL11,0.24548845942828734,11.867996128815196,3.399373515887782,7.277890926877417e-4,0.9999970699667557,-1.3734122184101474
THOC7,0.3013002064416206,9.808747398902517,3.393250847598631,7.438855778635441e-4,0.9999970699667557,-1.3867451262122743
LGI1,-0.3154692912469539,5.2001249166170425,-3.3793614256755404,7.816381003136016e-4,0.9999970699667557,-1.416907272359048
RHOH,0.3089030275371165,6.570319313535306,3.237974055177554,0.0012814196671343597,0.9999970699667557,-1.7172987913768107
RPL31,0.255243595557884,11.174536283859434,3.2352294260558563,0.0012935514871727685,0.9999970699667557,-1.7230099808444828
NLRX1,-0.1569573704987981,8.529719323194273,-3.204455271749697,0.0014370533738967714,0.9999970699667557,-1.786732723960537
RIPK1,-0.2688675703748302,8.588338426209408,-3.1396381579780748,0.0017886525422342438,0.9999970699667557,-1.9190577521956085
IFNW1,-0.2134799022909908,5.082589326578138,-3.078903570269634,0.0021884741939032053,0.9999970699667557,-2.040717369963666
KCTD15,-0.2494230210472601,7.985754838703265,-3.076539339040135,0.0022055843500645004,0.9999970699667557,-2.0454075492802914
ITGA5,-0.20118256392680323,8.830401043121519,-3.0678284069054977,0.0022696927439120403,0.9999970699667557,-2.062658774118689
NUAK1,-0.224265732978445,8.692687468968344,-3.0421284799009403,0.0024689403926307684,0.9999970699667557,-2.1132838188454057
ABCC5,-0.26679585348623647,8.815083912468278,-3.012554600478559,0.002718012835112138,0.9999970699667557,-2.1710378549509364
RTDR1,-0.3203185332620677,5.712270790998385,-2.9999962351587643,0.0028305824113813755,0.9999970699667557,-2.1954000465046555
PPP2R3B,0.2183182444138705,7.289713940606801,2.9706673365090506,0.0031102970827620985,0.9999970699667557,-2.2519174923829945
TMSB15B,0.2656282978088047,8.774545695830207,2.970528470902247,0.0031116795782099795,0.9999970699667557,-2.252183828955085
F9,-0.19343702534128138,5.534498680405248,-2.9556356637359618,0.0032632504328843456,0.9999970699667557,-2.280678401874606
SULF1,-0.27063997134871265,9.567257115198421,-2.9472260349446358,0.0033517900703354028,0.9999970699667557,-2.2967082065519384
ATAD2,0.21954120332005367,8.416317704760303,2.93670368423871,0.0034656616124907284,0.9999970699667557,-2.3167036596951496
CPLX2,0.2510786566256593,5.373944266355332,2.9331048506006954,0.0035054109559506013,0.9999970699667557,-2.3235267797728847
EIF3A,0.18884354388047875,9.330800548502985,2.9242021363759405,0.003605536023091774,0.9999970699667557,-2.3403712978537285
ANKRD17,0.14983543775394637,8.051577579495927,2.9228776929602414,0.003620652404599752,0.9999970699667557,-2.342873048409533
SLC16A3,-0.24410767211367101,9.56699655184578,-2.9123364544041,0.00374304001354227,0.9999970699667557,-2.3627458291911316
SLC9A1,-0.24521678325173824,9.153683667470965,-2.89155036359735,0.003995488165845652,0.9999970699667557,-2.401731370083044
COL5A1,-0.2720078075496932,9.868147321691385,-2.886222797135616,0.00406264067000271,0.9999970699667557,-2.4116805124685894
SPOCK3,0.24334235437052332,4.60316373125837,2.8830595380169886,0.004102997181570909,0.9999970699667557,-2.417579536973523
MAPK7,-0.10770002641778653,8.470291424073107,-2.8791082809218245,0.004153919286853789,0.9999970699667557,-2.424939365838606
FKBP15,-0.2393576312581569,8.685902931623108,-2.872213184228102,0.004244159562265085,0.9999970699667557,-2.437759405224808
MSL2,-0.24339825941365056,7.5381732461577995,-2.8546167865134984,0.0044825928898110465,0.9999970699667557,-2.4703429085607818
SMYD3,-0.19198328438964118,8.853313605288385,-2.849272178089105,0.0045573864238439,0.9999970699667557,-2.480201614737157
